model,condition,task,band,accuracy,accuracy_std,n,num_correct
gpt-4.1,direct,digit_to_word,0-69,0.9857142857142858,0.11952286093343936,70,69
gpt-4.1,direct,digit_to_word,100-199,1.0,0.0,100,100
gpt-4.1,direct,digit_to_word,70-99,1.0,0.0,30,30
gpt-4.1,direct,mgsm_fr,mgsm,0.4875,0.5029973450366554,80,39
gpt-4.1,direct,pattern_classification,0-69,0.8,0.40288812414826797,70,56
gpt-4.1,direct,pattern_classification,100-199,0.4,0.4923659639173309,100,40
gpt-4.1,direct,pattern_classification,70-99,1.0,0.0,30,30
gpt-4.1,direct,word_to_digit,0-69,1.0,0.0,70,70
gpt-4.1,direct,word_to_digit,100-199,1.0,0.0,100,100
gpt-4.1,direct,word_to_digit,70-99,1.0,0.0,30,30
gpt-4.1,reasoned,digit_to_word,0-69,0.9857142857142858,0.11952286093343936,70,69
gpt-4.1,reasoned,digit_to_word,100-199,1.0,0.0,100,100
gpt-4.1,reasoned,digit_to_word,70-99,1.0,0.0,30,30
gpt-4.1,reasoned,mgsm_fr,mgsm,0.575,0.49746191254243743,80,46
gpt-4.1,reasoned,pattern_classification,0-69,0.8142857142857143,0.3916837360273247,70,57
gpt-4.1,reasoned,pattern_classification,100-199,0.41,0.49431107042371036,100,41
gpt-4.1,reasoned,pattern_classification,70-99,1.0,0.0,30,30
gpt-4.1,reasoned,word_to_digit,0-69,1.0,0.0,70,70
gpt-4.1,reasoned,word_to_digit,100-199,1.0,0.0,100,100
gpt-4.1,reasoned,word_to_digit,70-99,1.0,0.0,30,30
gpt-4.1-mini,direct,digit_to_word,0-69,0.9714285714285714,0.16780151935092938,70,68
gpt-4.1-mini,direct,digit_to_word,100-199,1.0,0.0,100,100
gpt-4.1-mini,direct,digit_to_word,70-99,0.9666666666666667,0.18257418583505536,30,29
gpt-4.1-mini,direct,pattern_classification,0-69,0.5857142857142857,0.4961549881405293,70,41
gpt-4.1-mini,direct,pattern_classification,100-199,0.2,0.40269363312841455,75,15
gpt-4.1-mini,direct,pattern_classification,70-99,0.8666666666666667,0.3457459036417604,30,26
gpt-4.1-mini,direct,word_to_digit,0-69,1.0,0.0,70,70
gpt-4.1-mini,direct,word_to_digit,100-199,1.0,0.0,100,100
gpt-4.1-mini,direct,word_to_digit,70-99,1.0,0.0,30,30
